"","lyrics","track_name_join"
"38","[ chorus: q- tip] ego, ego skippin', trippin' in my mind ego, ego skippin', trippin' in my mind ego, ego trippin', trippin', trippin', trippin', trippin' ego, ego i got one, you got one, and now we equal sometimes it makes you trip out on your people sometimes it has connotations of evil sometimes niggas call on it when they need to it's called the ego [ verse : q- tip] ay, it's hard to really make the subject positively stated some may hate it and some may overrate it it's a top story and you rarely see a trend so all you psychoanalysts, pull out your pad and pen it's called the ego come up with an idea, and no one seems to get it then every time you mention it they stare like you're two-headed but one day, in your cubicle, your idea really comes to view your boss is walking by, he sees it too and he takes it from you she put you on the aces of all the stripper places and has the kinda clientele where niggas trick off very well you beg her and you plead her and you tuck away your ego she knows you need the chicken and you know that she's your people they call you fat and lazy, your commentary crazy they photoshop your face on a box of mc cormick gravy and now that inner voice, that ego, making you get wavy change your diet, hit the gym and say, "" what were you saying to me?"" the ego makes you do it, it makes you face the music or run away from life so fast that you'll outsprint carl lewis it has you think your deceptive ways of being are the truest had the prettiest brown eyes but you change them shits to the bluest it's the ego[ bridge: q- tip] ooo, jack white ooo, jack white [ verse : q- tip] a celebrated genius, my dick game is the meanest i'll take the girl that's augmented, new me is invented i'll take the biggest house in calabassas anyone for michael phelps swimming classes? you need it when you're balling, equally when you're falling or when those kids in school on your locker they get to scrawling epithets that's racist is stupid and mean in nature something that can make you feel stronger when people hate ya ego make you violent or govern like a tyrant or switch a dictionary's word from vibrant to vivrant fool the thirsty people, selling tap water in bottles fooled a girl with n y u scholarship and now she models ego has no ending, has people pretending religious zealots get jealous 'cause guys want their defending this is the last tribe and our ego hopes that you felt us and closing for our ego, we know only god can help us ego, ego skippin', trippin' in my mind ego, ego skippin', trippin' in my mind ego, ego trippin', trippin', trippin', trippin', trippin' ego, ego skippin', trippin' in my mind ego, ego skippin', trippin' in my mind ego, ego trippin', trippin', trippin', trippin', trippin' ego, ego skippin', trippin' in my mind ego, ego skippin', trippin' in my mind","ego"
"39","relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down [ verse : q- tip & phife dawg] [ q- tip] honey, check it out, you got me mesmerized with your black hair and your fat-ass thighs street poetry is my everyday but yo, i gotta stop when you trot my way if i was working at the club you would not pay aiyyo, my man phife diggy, he got something to say [ phife dawg] i like 'em brown, yellow, puerto rican or haitian name is phife dawg from the zulu nation told you in the jam that we can get down now let's knock the boots like the group h- town you got b b d all on your bedroom wall but i'm above the rim and this is how i ball a gritty little something on the new york street this is how i represent over this here beat talking 'bout you [ q- tip] yo, i took you out but sex was on my mind for the whole damn route my mind was in a frenzy and a horny state but i couldn't drop dimes cause you couldn't relate relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down [ verse : q- tip & phife dawg] [ q- tip] stretch out your legs, let me make you bawl drive you insane, drive you up the wall staring at your dome-piece, very strong stronger than pride, stronger than teflon take you on the ave and you buy me links now i wanna pound the poontang until it stinks you can be my mama and i'll be your boy [ phife dawg] original rude boy, never am i coy you can be a shorty in my ill convoy not to come across as a thug or a hood but hon, you got the goods, like madelyne woods by the way, my name's malik the five- foot freak let's say we get together by the end of the week she simply said, "" no"", labelled me a ho i said, "" how you figure?"" "" my friends told me so"" i hate when silly groupies wanna run they yap word to god, hon, i don't get down like that [ q- tip] i'll have you weak in the knees that you could hardly speak or we could do like uncle l and swing an ep in my jeep keep it on the down, yo, we keep it discreet see, i'm not the type of kid to have my biz in the streets [ phife dawg] if my mom don't approve, then i'll just elope let me save the little man from inside the boat let me hit it from the back, girl i won't catch a hernia bust off on your couch, now you got seaman's furniture [ q- tip] shaheed, phife and the extra p stacy beadle, p j and my man l. g they know the abstract is really soul on ice the character is of men, never ever of mice shorty let me tell you about my only vice it has to do with lots of loving and it ain't nothing nice relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down keep bouncing","electric relaxation"
"40","[ verse : kendrick lamar] i'm the coolest nigga you know migrated from the north pole when i was fo' infatuated with cartoons and g. i. joes' till something more greater took a toll: life not really, more like white air nikes evidently, i had a fondness for material things ten years old trynna get a - k ring i forgot it was for me when the phone ringed elementary girls callin' the house desiree and cheryl mama end hustled what we talkin' about i'm talkin' about the good old days when we walked without knowing that could be our last time walking out now we can't walk witout protection bein' on the defensive, life ills this life will put you in a crazy world just by knowing crime will never cure so i'm strapped like girbaud jeans i'd rather see the pen like i was bowling rather than death, walkin' on heavy steps it's a great place, but i ain't ready for heaven yet so i told god put me at the back of the line matter fact yesterday, swear to god i ain't lyin' movin' at a turtle pace, cause the fast lane got a day one uncle with one in the brain got one in the chamber sixteen in the clip, my eyes fluttered with anger hip-hop trynna save my life give credit whenever it's due, the money touchin' the roof breakin' the ceiling, with that being i'm breakin' the loot with my loved ones, life way too short, son [ verse : jay rock] shoul is, gotta wake up like a bakery, i'm trynna get the cake up never know when the day come, so we live carefree party like it's , cherry cherry breath that i breath materialistic things, it won't mean shit when you leave i ain't lyin', a nigga miss the good old days sippin kool- aid, mama let the o js play nowadays, it seems like the end is near cause babies killin' babies like brenda did use ya head, mess around lose ya wig age fifteen, shit, a nigga witnessed it walking home from school, just me and my team shots fired, i guess it wasn't meant for me so i thank the man in the skies above for his blessings until a nigga rise above i'm fly as a dog, more dope than a drug on the microphone, lemme kick the verse for y'all hip-hop'll never die as long as we alive top dawg e- n- t, haters don't even try you don't wanna pay the price of a lyrical ass-whoopin', we'll let it fly watch your career go up in flames, let it fry watch it die, no get back, just sit back, enjoy the ride live like it's no tomorrow, enjoy life [ verse : ab- soul] i'm still reflectin' on the death of mission of the better only one that's necessary for sarah see, ya'll can say whatever, but still it come together i used to rip it down and let you sew it back together hip-hop forever, fuck 'em and whoever fed up and i wish a hex on whoever met 'em i'm obsessed with objection and i'd probably blame common for my resurrection i used to love her too so when i'm in the booth, we do what lovers do but i ain't stingy, let my niggas get a piece of her too another piece and i'm through probably trynna peace up with you niggas got some believin' to do it starts now","enjoy life"
"41","[ intro: q- tip] is this enough? is this enough? is this enough? is this enough? enough, enough, enough [ verse : jarobi] yo, i'm savant with the game gon' tell robi yo' name provide words that's heard, setting your body aflame ooh, you off the chain, i'm handling your terrain your valley h-has me standing down to the follicle ' bout half of this bottle full of reasons for us to ball palming violations and travel vacation, ma lace your fancy bra, gon' take them vestments off skin and my lips involved, i'm licking a place that's soft jedi [ chorus: q- tip] is this enough? is this enough love that i give to you? is this enough? is this enough time that i give to you? is this enough? tell me that you feel the same way i do is this enough? enough, enough, enough [ verse : q- tip] is it an issue if i make you nut? but there's no quality time 'cause i forever grind this is not an excuse, i just wanna get loose that's old nigga jargon, girl, you're making me hardened to a stone or granite statue, i'm prone to get at you it's hard to break your defense, i guess i have to leap fence or scale wall, and break fall on a tree right by your window reward me for my efforts by rolling this indo as i nibble your neck naughtily, sex is a big part of me agencies want to audit me, searching, snooping for sodomy my thrust bust artery, i know you're on to me just wanna have shenanigan don't wanna make you mad again so focus on the flattery you feel when i fling it acknowledge that i got it and you love it when i bring it dirty talk loud but they saying, "" fuck the shit out of me"" at the queen's request, if it's gotta be, it's gotta be [ chorus: q- tip] is this enough? is this enough love that i give to you? is this enough? is this enough time that i give to you? is this enough? tell me that you feel the same way i do is this enough? is this enough? is this enough love that i give to you? is this enough? is this enough time that i give to you? is this enough? tell me that you feel the same way i do is this enough?","enough!"
"42","everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city [ verse : q- tip] lookin at miss elaine, who runs the fast lane barely knows her name, struck by fame she just got a benz, she rides with her friends gotta keep her beeper in her purse to make ends rollin down the block, checkin out the spots she winks at the cops, always give her props she knows she's the woman, can't nobody touch her hangs out for the loot, makes her papes from the gutter tried to make my moves on miss elaine, she called me young boy told her not to dis me i just want to be your love toy you young boy, my love toy, i doubt that very highly just because you rhyme don't mean i'll let you try me business oriented, egos never dented always sweet scented, if it's business, she meant it distractions never hurt, always did the work always was alert, she never got jerked queen of the feats, thrive to compete love the funky beats while she drive down the street she was justified, couldn't get a job had to feed her family, so she had to play the mob pullin out the ooh wop, listenin to doo-wop( you don't have to say a word)(*gunshots*) that's all ya heard everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city everything is fair when you're livin' in the city [ verse : q- tip] she's not a big kahuna, wish i met her sooner instead, i met her later, my love is much greater put me on her roster, to rid her of imposters and to sell the buddah for the sexy drug ruler love is my motive, now i'm drug promotive plus i needed ducats to fill up my buckets supplied me with the squeezy to make my life easy now i'm missing action for this fatal attraction but don't you let me catch you with your joint up in these bitches and don't you even dare to plan a plot upon my riches cause if you play me out, i think i'll let ya be i'll be damned if i let a brotha try to gas me i played my cards well, try to live swell for the g, i would sell, cuz i was deep in hell but then i really wasn't, she had a fly cousin who would give me booty on the side of my cutie elaine, she kinda knew, that i would do the do but she didn't tear, i did my work with care that's all that really mattered, her money never splattered as long as she was paid, she was in the shade you can't really blame her for holdin on a flamer society taught her, but they didn't tame her a ten clip salute, hunny here's a troop she will never stop until she reach the top top, top...","everything is fair"
"43","[ verse : q- tip] back in the days when i was a teenager before i had status and before i had a pager you could find the abstract listening to hip hop my pops used to say, it reminded him of bebop i said, "" well, daddy don't you know that things go in cycles way that bobby brown is just amping like michael"" it's all expected, things are for the looking if you got the money, quest is for the booking come on everybody, let's get with the fly mode still got room on the truckload of black boom listen to the rhymes, then get a mental picture of this black man, and black woman fixture why do i say that, cos i gotta speak the truth, man doing what we feel for the music is the proof and planted on the ground, the act is so together bona fide strong, you need leverage to sever the unit, yes the unit, yes the unit called the jazz is delivering each year an l p filled with street goods you can find it on your rack in your record store if you get the record, say your thoughts are adored and appreciated, cause we're ever so glad we made it we work hard, so we gotta thank god dishing out the plastic, do the dance till you're spastic if you diss... it gets drastic listen to the rhyme, cause it's time to make gravy if it moves your booty, then shake, shake it baby all the way to africa a.k.a the motherland stick out the left, then i'll ask for the other hand that's the right hand, black man only if you are noted as my man if i get the credit, then i think i deserve it if you fake moves, don't fix your mouth to word it get in the zone of positivity, not negativity cos we gotta strive for longevity if you botch up, what's in that [ass] ( what?) a pair of nikes size ten-and-a-half we gotta make moves (words) never, ever, ever could we fake moves (come on, come on) we gotta make moves (words) never, ever, ever could we fake moves (come on, come on) we gotta make moves never, ever, ever could we fake moves (come on, come on) we gotta make moves never, ever, ever could we fake moves (come on, come on)[ interlude] time, time is a ship on a merciless sea drifting toward an average of nothingness until it can be retarded for its own destiny time is an inanimate object praying and praying and praying with no justification for relief time is dancing, boogalooing away all memories of past [ verse : q- tip] we gotta be a winner all the time can't fall prey to a hip hop crime with the dope raps and dope tracks we move blocks from the fly girlies to the hardest of the rocks musically the quest, is on the rise we on these excursions so you must realize that continually, i pop my zulu [shit] if you don't like it, get off the zulu tip so what can you do in the times which exist you can't fake moves on your brother or your sis but if your sis is a [bitch], brother is a jerk leave 'em both alone and continue with your work whatever it may be in today's society everything is fair, least that's how it seems to me you must be honest and true to the next don't be phony and expect one not to flex especially if you rhyme, you have to live by the pen your man is your man, then treat him like your friend all it is, is the code of the streets so listen to the knowledge being dropped over beats beats that are hard, beats that are funky they could get you hooked like a crackhead junkie what you gotta do is know the tribe is in the sphere the abstract poet, prominent like shakespeare( or edgar allan poe or langston hughes) we gotta make moves never, ever, ever could we fake moves (come on, come on) we gotta make moves never, ever, ever could we fake moves (come on, come on) we gotta make moves never, ever, ever could we fake moves (come on, come on) we gotta make moves never, ever, ever could we fake moves (come on, come on) time is running out on black power advocates in the day and white thigh supporters at night every time you see them they're chasing some white woman with their tongue hanging out time is running and passing, passing and running running and passing, passing and running...","excursions"
"44","now you caught my heart for the evening kissed my cheek, moved in, you confuse things should i just sit out or come harder? help me find my way [ q- tip] messing me up, my whole head teasing me, just like tisha did martin now look at what you're starting schoolboy's crush and it ain't on the hush the whole world sees it but you can't (uh) my peoples they complain, sit and rave and rant (come on) your name is out my mouth like an ancient chant (say what?) got me like a dog as i pause and pant... [ phife] speaking of which, got a leash and i wish just to rock you miss (come on) make a militant move, peep my strategy (what?) end of the day you're not mad at me (uh) not dealing with nobody, now that's what you told me (what?) i said: ""hey yo, it's cool, we can just be friendly"" (come on) cause yo, picture me messing it up her mind now corrupt with the ill c- cups shit, i'm on my j. o. (come on) bullshitting, hoping that the day goes slow (what?) got me like a friend, what confuses me though is kisses when we breeze, tell me what's the deal yo? (deal yo, yo, yo...) - repeat x [ q- tip] now why you wanna go and do that, love, huh? making things for me towards you harder killing me, just when i think we're there you douse the whole vibe and the flows in the air telling me 'bout next man but next man ain't the nigga with the plan who got your heart in mind? it's about time that you just unwind (come on) [ phife] and let it just happen, make it front-free (uh) just sweat me like moneypenny (uh) digging you, getting inside of your stee (what?) it's the quest cat keeping you company forever, or however you want it [ q- tip] word word, now wait a minute ma before you jet into the curb (yeah, yeah) start to make affections, which is good not the herb but it, it ain't me, and i, i ain't blurred (uh) i'mma still just chill with you maybe things could change if you change your view (come on) if not then i guess it is cool (yeah) just, to keep to yourself and abide by the rules, right check it out now... check it out now... like that now... check it out now... wha wha now... check it out now... yeah yeah now... check it out now... check it out now... it's like that now... check it out now... yeah yeah now... check it out now... what you say, what? what? - repeat to fade","find a way"
"45","uh young money cash money fly society curren$y the hot spitta what up cannon! yup right right sitting in the first class cabin of the airplane with my i pod blasting the captain instructs us to prepare for landing flight attendant walks up politely asking me to cut off the music and raise my seat to the upright position where it's 'sposed to be to make sure i don't receive no injuries when the wheels touched down the tire screeched then she looked at my face and said "" naw it can't be"" "" haven't i seen you on t. v.?"" "" or heard you in music with weezy wee?"" i said yes you did baby i'm that kid got an arc shaped driveway at my crib ' cause when it comes to the whips i got more than six flying one after another like look at my shit but now i better quit 'cause that's not important you working on this plane, what you doing when you get off it ' cause now you in new orleans where you are just a tourist i'll bring you through my city and i promise you'll enjoy it ( laughter) yeah yeah that's that spitta shit you know fly society tell them niggas don't bother me","flight attendant"
"46","[ verse : q- tip] as we start trudging, me and my brothers we be looking and be bugging vehicles of life they be rolling and be nudging searching for the virgins of life that be shoving out the door that's crack the valleys of time, are always on my feet as least the beat will combine the calluses and corns with the funky bassline you don't need underdog for a nickel shoeshine or the shoes that's phat well can i get a level on the bass and on the treble footing up and down like a u n l v rebel the answer be amongst us cos we rarely dig acoustics can't be too much flacking, not too much packing you must container that at least to dip your hand in rap your feet will be infectious so at least realise the fact the rhythms are inserted and the nurse can be converted this ain't rock 'n' roll cos the rap is in control if you're a megastar, worth will buy you a car i'd rather go barefooting, for prints i will be putting all over the earth if we can get there first now that we are in it, footprints are being printed so if you recognize em, you can try to size em they'll probably be the ones with the size not frying all over reveal, you won't have to yield if you want protection you can hide behind the shield [ verse : q- tip] you can game on the gallons if you really need to rock but we walk while we talk as we stomping through the block hand in hand 'cross the land as muhammad cross the fade it's a tribe who meanders, precious like a jade it's a art, theo arch rhymes the ground placed upon the mind will unwind, it will soft to beyond catch the track, track by track, get a map to track a trail you will find yourself behind for a map does not prevail see the levels peaking as the rhythms keep-a screeching a quest, oh yes a quest, inside the jam i will keep preaching the point, oh yes the point, because it's close but yet so far the loudiness is ringing as we scoot across the star we are bulging, i'm indulging in a rat-a-tat-tat explanation for the liners that the rhythm is phat keep it wild, wide and deep, you could dig it in a jeep but dig it in the ground because the foot print now [ verse : q- tip] if there's a storm that's brewing, it won't keep us from doing our thing as we start swinging, travelling is bringing joy inside the domes as we hit the road to roam/ rome a chair is not a chair, a house is not a home because my skin is brown, yo i'm gonna do the town rub it in the face and rub my feet all through the place when you get your finger on the music it'll linger sing a song o' sixpence, sing it like a singer a nubian, a nubian, a proud one at that remember me, the brother who said "" black is black"" you can come by request, i don't play, i don't dress get emotions off your chest, we are black, we the best making moves, making motions, flowing like an ocean the walking will continue, we know that we will bring you the times that you have waited, more anticipated be gone but not for long because the feet will stay strong","footprints"
"47","[ verse : q- tip] as we start trudging, me and my brothers we be looking and be bugging vehicles of life they be rolling and be nudging searching for the virgins of life that be shoving out the door that's crack the valleys of time, are always on my feet as least the beat will combine the calluses and corns with the funky bassline you don't need underdog for a nickel shoeshine or the shoes that's phat well can i get a level on the bass and on the treble footing up and down like a u n l v rebel the answer be amongst us cos we rarely dig acoustics can't be too much flacking, not too much packing you must container that at least to dip your hand in rap your feet will be infectious so at least realise the fact the rhythms are inserted and the nurse can be converted this ain't rock 'n' roll cos the rap is in control if you're a megastar, worth will buy you a car i'd rather go barefooting, for prints i will be putting all over the earth if we can get there first now that we are in it, footprints are being printed so if you recognize em, you can try to size em they'll probably be the ones with the size not frying all over reveal, you won't have to yield if you want protection you can hide behind the shield [ chorus: cherokee] footprints, y'all ( footprints, y'all, footprints, y'all) (x) footprints, y'all ( footprints, y'all, footprints, y'all) (x) [ verse : q- tip] you can game on the gallons if you really need to rock but we walk while we talk as we stomping through the block hand in hand 'cross the land as muhammad cross the fade it's a tribe who meanders, precious like a jade it's a art, theo arch rhymes the ground placed upon the mind will unwind, it will soft to beyond catch the track, track by track, get a map to track a trail you will find yourself behind for a map does not prevail see the levels peaking as the rhythms keep-a screeching a quest, oh yes a quest, inside the jam i will keep preaching the point, oh yes the point, because it's close but yet so far the loudiness is ringing as we scoot across the star we are bulging, i'm indulging in a rat-a-tat-tat explanation for the liners that the rhythm is phat keep it wild, wide and deep, you could dig it in a jeep but dig it in the ground because the foot print now [ chorus: cherokee] [ verse : q- tip] if there's a storm that's brewing, it won't keep us from doing our thing as we start swinging, travelling is bringing joy inside the domes as we hit the road to roam/ rome a chair is not a chair, a house is not a home because my skin is brown, yo i'm gonna do the town rub it in the face and rub my feet all through the place when you get your finger on the music it'll linger sing a song o' sixpence, sing it like a singer a nubian, a nubian, a proud one at that remember me, the brother who said "" black is black"" you can come by request, i don't play, i don't dress get emotions off your chest, we are black, we the best making moves, making motions, flowing like an ocean the walking will continue, we know that we will bring you the times that you have waited, more anticipated be gone but not for long because the feet will stay strong [ chorus: cherokee] [ verse : cee- lo green] there's a sign of the sands of time, can you believe it? ' fore the sun sets and rises again, you should read it as you walk out the ways of man, there is a plan you should perceive it then indeed it is a path to a promise if you need it now you'll think of them when it's time to sink or swim and we'll provide you moral compass to guide you you'll survive through what most others have tried to and as the tides grew, you found out you would fly too so receive it as a beacon of light so i can see it to leave footprints, one must be undefeated you hear me? to leave footprints, one must be undefeated [ chorus: cherokee]","footprints remix)"
"48","[ hook: q- tip] relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down relax yourself girl, please set-tle down [ verse : jahrome] relax your self and settle down i got this electronic beat up in the style and grace of this plan because i am only a man i’m puttin’ it in motion man, no fuck uncle sam cause i don’t need no babylon knockin’ on my door i’m just a beat, a young kid, so dillion scores and not missin’ em mass media on this bull shit twistin’ up my left joint all i just need, is just a little flow for me to be a emcee tryin’ to put a rap on point so anoint myself to be a emcee dolly lama next to me, i’m livin’ life so free and if you just a want to come and get a little piece of it electronic man, babylon gone steal it so keep it close to you, and keep it true cause all i need is you, you, you cause all i need is you, you, you [ hook: q- tip] [ verse : dolly lama] tribe called quest is what i was listenin’ to when i was bein’ like a kid my pops left all these c d’s in my stockin’ blessin’ in disguise, now its my callin’ ballin’ like it’s march maddness breakin’ ankles cause this is my passion can’t stop me cause i’m livin’ free spreadin’ love and all this happiness long live phife dawg for his inspiration he did work to change a generation whats good to q- tip i know you be makin’ that abstract music like j j killin’ it and all these other people living positive not negative cause that ain't the way to live remember what you take and don’t forget to give cause the good times i lived were not accidental now i believe in companies like summer rental i summer rental! yeah [ hook: q- tip]","fo phife"
"49","[ hook: apache] i need a gangsta bitch (a gangsta bitch) i want a gangsta bitch yo (a gangsta bitch) i wanna "" gangsta boogie!"" with my (gangsta bitch) i want a (gangsta bitch) i need a (gangsta bitch) ( repeat x) yo, i need a gangsta bitch; she don't sleep and she don't play stickin up girls from around the fuckin way strapped but lovable, hateful but huggable always in trouble and definitely fuckable see her now, booms and pounds, she's mine friend puffin on a blunt, sippin on a heineken she's got charm, a firearm to match mine going to the movies packin' his-and-her nines wearin carhartt and leather, motherfuck the weather on valentine's day, doin stick-ups together no one to blame, no shame in her game and when we fuck she makes me scream out her name she's not petty; confident, ready right for late night, we play fight with machetes. this goes out to all the gangsta ho pros: give me a ghetto girl, fuck a soul train ho she likes to party with her posse and drink beer pour a little bit out for the sisters who ain't here she's not the one, player you might get done her idea of fun's takin her son shoppin for a gun likes to dress to impress, quick to attack when your punk-ass boys run, you know she's got your back in a benz with her friends, a m g kit drivin down the street pumpin, "" apache you ain't shit!"" snappin on niggas, takin no shorts sittin on a porch, pullin on a newport minds her business, knows 'cause she hears things fat herringbone and diamond studded earrings she's a thoroughbred, walks and talks with class try to get fast, she just might slap your ass come meet my moms, but the two might not click parents just don't understand... i had a church girl, quiet girl, one girl was rich the most memorable girl was a gangsta bitch we went out a lot, sometimes we dressed the same lickin shots in the park and had pet names i called her ' dollars' 'cause that's what she liked to spend she called me ' diamond' cause my dick was her best friend if you owed her dough, then you had to pay bought her an a k for her st birthday we packed up and shacked up, didn't need a job engaged to a criminal and married to the mob i gave m cs injuries and beat 'em down while she's, pickin up ki's, from uptown sad to say one day got caught out there i shed a tear when the judge said five years she's gone now so it's time to make my switch so who'll be my next gangsta bitch?","gangsta bitch"
"50","listen up money or should i say honey ( repeat x) [ phife] in the beginning there was adam and eve but some try to make it look like adam and steve like georgie, why can't money find a honey i couldn't believe when i found out he was funny you know fierce with just his right ear pierced i couldn't hack it, i knew this brother for years walking in the ville with them long dreadlocks but on the d l, getting done up the butt box oh my god how gross can one be well anyway, better him than me used to be down with the crew and had the girls that were def instead of staying to the right, he fell off to the left so lord j being that you go next pull the rest of his card cause i'm vexed [ lord jamar] my man george got a germ that's ill suffering from terminal scag but never ever getting caught walking like a fag that's not his bag cause the plague was afraid to parade in drag so instead he played the d l, brothers get jel cause honey's on his dick but money won't swell he'd rather call manuel for a little duel have a swordfight with tools he's wounded and i can't understand why a man would want to be a weak cipher man i thought the plan was to be hard as a rock not riding a jock, sucking on a cock [ hook x] [ grand puba] my man george i thought he was on base find out later that he was a closet case woah woah he's a sweet thing george was down with the titty titty bang bang now george swung with gays, just the way he sways even fooled around with his mom's lingerie come get it girl, something fierce was his line even wore a dress and on his face he had swine he cipher monkey cipher, you fucking faggot couldn't wait for gay parade so you can drag it george used to flip, went from hitting skins to sucking nigga's dick george better get a grip [ sadat x] now georgie used to run with the ill brothers kids who liked to rob mothers, and do a bunch of crazy things he had the ladies, a baby, a shiny black . that he always kept tucked and filled with the slugs now watch how money bugs weight fell it's hard to tell but believe me george has slid coming out the closet was the dress that he hid from the boys when we was over there i seen it out the corner of my eye i said damn georgie george signify the whole crew seen it now the whole block knows that george gets his kicks from wearing wisdom's clothes [ q- tip] now georgie porgie pudding pie what made you choose the path of the gays, oh why ain't got no reason, to hell with alibis won't play basketball cause your nails ain't dry call me homophobic but i know it and you know it you're filthy and funny to the utmost exponent never will i do that, disrespect my mommy so run and hide your salami used to, didn't you, used to be my man instead of shaking, you're dragging your hand yes it's the abstract the info provider here's your new name - the rump rider [ hook x]","georgie porgie"
"51","drifting back... suddenly drifting back (just) suddenly drifting back (just) suddenly [ verse : q- tip] the deadly venom, let me start from the beginning we always hitting, so yo, there'll be no extra innings as i send the mic out the park like reggie jackson you be the minor leaguer who sees no action the coming attraction, what, the main feature and i'mma greet ya, like a rhyming ass creature lurking all up in the dark, unknown parts the brother well prepared is the brother who will start and that's me akki, as long as the ladies move they bodies we'll have a forum to stand cause that happens to be the nature of man sexuality, it is the format baby ain't no ifs, no buts, no ands, or maybes but i praise the lord of the worlds that's unseen respect me for that and let me do my thing i said, respect me for that and let me do my thing you know we gotta get a hold over the illest drum rolls [ verse : q- tip] yo, how you doing? let me give you an intro my name's the abstract, now let me give you some info got the diamond in the back and the sunroof shit that makes the hardcore m c's resort to being bitch and i don't give a shit about being wild rich just make me comfortable and i'll deal with it your lust for the riches make a nigga feel sick down to his zealots, upchuck and then spit denouncing my beliefs, well then your wig get split lay your egos on the ground so that you'll benefit you can take these words and relay it to your clique take some time for your mind and get off them head trips don't try to play me, see my name's not dick the tribe is the crew that makes the mics get lit like the fourth of july on some firework shit my record company be on some true jerk shit but that's aight, now, i'm on some true work shit and i'mma make it happen for my whole outfit you know we got to get control over the illest drum rolls ( third verse)[ verse : q- tip] a-yo, we just getting started, got to redirect this vision got the beauty of a flower plus dimensions like a prism your minds are locked down like prison y'all really need to go lay down cause positivity has risen we hitting, yo bust how we too strong to be broken occasional malfunction pressure time, we ain't joking for security, yo we on this run like logan kamaal's doing the hustle and you backstage vogueing we all got faults, don't ever try to think that you perfect we all are human beings, there's bullshit at the surface sometimes, i mean we rhyme, damn, we ain't prophets and if you think so, you need to stop it so jump back inside your shell let your million dollar thoughts propel but next man don't get jel playa hate that all carries weight that we don't need we slim with disabilities and thick with possibilities cause then you can't move with agility navigating with good visibility we put these tunes out in record shop facilities and strive to get this constant money activity we try to stay on the scene like fidel so if you get enraged with these names it still ring bells there ain't no plan b's, yo watch, we moving through with plan a money market doing things the right way you know we gotta get a hold over the illest drum rolls [ outro: q- tip] yo bust it out section, section section linden boulevard section on merrick section the whole jamaica section on flushing section in bed- stiduy","get a hold"
"52","doing our thing in queens we had dreams about being emcees and there was no concern about so and so and these record companies but now we all are grown and the spots is getting blown boyz i i men, a b c, b b d nah, we ain't none of them, b give me, so give me nore, phife dawg and abstract give me, to everyone in the world nore, phife dawg and abstract [ noreaga] yo in iraq, all my niggas love abstract yo, from far rock to flushing, concussion every time a nigga rhyme it's like we get our bus' on i used to ride a dollar van and really get my bus on yo, from south don to el segundo all my niggas getting high yo, and still living on the run though get a lot of dough so now we have a lot of fun though q- u, two e's, n- s all we really care about is money, cheeba and sex what what what [ q- tip] niggas get faded, never outdated give it to the world cause for long they waited shorties online to cop the new c d so hip hop i bust nut in graffiti we could two-piece it or we could just cease it shorty on my shit cause my style wild decent what's it gonna be, the party or the precinct? queens cats rock, keep it rugged and recent my nigga nore thug it out (thug it out, no doubt) phife dawg bugging out (bugging out, no doubt) the love movement no doubt ( love movement, no doubt) ali shaheed get a shout (shout it out, no doubt) [ noreaga] yo perate, hold on, take a time out huddle up, yo, queens niggas won't fuck it up keep my southside niggas just playing the cut while my queensbridge people stay roughing you up east elmhurst, corona, ayatollah keep the caller i d on the motorola gotta keep the po-po on the payola queens niggas shut it down, now it's all over [ phife] , the bouley fran lew merrick, van wyck, hollis ave, guy brew head up jamaica ave cop a tape by d j clue move to the acres, sipping on a guinney brew scooping ladies up in ??? makes my day complete freestyling over beats for my peoples in the street this is a place where stars are born linden to laurelton, we keep it hot like porn","give me"
